time,time_raw,flux
54966.0042522,54966.0042522,-37.905410353520935
54966.0246867,54966.0246867,-112.59215401889276
54966.0451213,54966.0451213,-69.13657134564869
54966.0655558,54966.0655558,62.08781852793558
54966.0859904,54966.0859904,72.26634078752691
54966.106425,54966.106425,-7.586661025832445
54966.1268595,54966.1268595,23.02110147245378
54966.1472941,54966.1472941,123.16303704056243
54966.1677287,54966.1677287,26.20572241440577
54966.1881632,54966.1881632,-170.80765304401152
54966.2085979,54966.2085979,-231.4176677852912
54966.2290323,54966.2290323,-237.0369851615768
54966.2494669,54966.2494669,-410.8265737497266
54966.2699015,54966.2699015,-218.72683852981166
54966.290336,54966.290336,67.46014014600486
54966.3107706,54966.3107706,367.7623741722748
54966.3312051,54966.3312051,456.413440209885
54966.3516397,54966.3516397,280.63756162369185
54966.3720743,54966.3720743,-11.504717724603921
54966.3925088,54966.3925088,-367.9301957387115
54966.4129434,54966.4129434,-608.881750524882
54966.433378,54966.433378,-728.0624194329157
54966.4538125,54966.4538125,-529.8015600054471
54966.474247,54966.474247,-419.1883946004349
54966.4946816,54966.4946816,-168.80303337357216
54966.5151162,54966.5151162,-110.78987124461219
54966.5355507,54966.5355507,-155.56644478001255
54966.5559853,54966.5559853,-63.323295159883116
54966.5764199,54966.5764199,-6.376711900669047
54966.5968543,54966.5968543,3.9605627132170333
54966.6172889,54966.6172889,-54.69962232182224
54966.6377236,54966.6377236,-33.30128226097694
54966.6581581,54966.6581581,52.76650871361612
54966.6785926,54966.6785926,-101.12195531871963
54966.6990272,54966.6990272,-154.88458164391045
54966.7194618,54966.7194618,-100.01902058045223
54966.7398963,54966.7398963,7.24944696449548
54966.7603308,54966.7603308,54.55950688953416
54966.7807655,54966.7807655,-131.45422090564153
54966.8011999,54966.8011999,-327.20578604696357
54966.8216345,54966.8216345,-686.7301955036852
54966.8420691,54966.8420691,-803.8421699354706
54966.8625036,54966.8625036,-705.7136359010849
54966.8829382,54966.8829382,-718.5049047371773
54966.9033727,54966.9033727,-479.5278953551716
54966.9238073,54966.9238073,-327.3780414081675
54966.9442419,54966.9442419,-585.3295369387109
54966.9646764,54966.9646764,-745.9422464721821
54966.9851109,54966.9851109,-766.8755576557639
54967.0055455,54967.0055455,-738.0575821884853
54967.0259801,54967.0259801,-675.717834198829
54967.0464145,54967.0464145,-349.718627787514
54967.0668492,54967.0668492,-190.619582372752
54967.0872838,54967.0872838,-279.80511474952965
54967.1077182,54967.1077182,-387.5029126017506
54967.1281528,54967.1281528,-689.0310140037556
54967.1485874,54967.1485874,-784.7268001927247
54967.169022,54967.169022,-715.2733404381262
54967.1894564,54967.1894564,-796.901032827381
54967.2098911,54967.2098911,-657.8764349086568
54967.2303257,54967.2303257,-644.18398541258
54967.2507601,54967.2507601,-736.866287964764
54967.2711947,54967.2711947,-677.3611260541094
54967.2916293,54967.2916293,-474.69362512862824
54967.3120638,54967.3120638,-325.0821266865233
54967.3324983,54967.3324983,-330.6279280131317
54967.352933,54967.352933,-357.01961496578775
54967.3733675,54967.3733675,-454.24981841714805
54967.3938011,54967.3938011,-405.0032141270953
54967.4142366,54967.4142366,-355.75761102772725
54967.4346711,54967.4346711,-159.6338296442536
54967.4551057,54967.4551057,-46.760512569117935
54967.4755402,54967.4755402,178.95738984572446
54967.4959749,54967.4959749,264.65747263496746
54967.5164094,54967.5164094,228.57708568341073
